Project ID Number,Lead_AQMD,n_aqmd_partners,n_county_partners,Agency_Name,Total_Funding,Total_GHG_Reductions,DAC_Funding,cost_per_ton,share_DAC,log_funding,cross_aqmd_collab,high_county_collab,SoCal_AQMD
8GG18312,El Dorado,1,1,California Department of Forestry and Fire Protection,130556,3105,,42.04702093397746,,11.779565191992761,0,0,0
8GG18313,Shasta,1,1,California Department of Forestry and Fire Protection,101162,5555,,18.210981098109812,,11.52448835633468,0,0,0
8GG18314,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,26793,590,,45.411864406779664,,10.19593326083693,0,0,0
8GG18315,Shasta,1,1,California Department of Forestry and Fire Protection,55489,3311,,16.758985200845665,,10.923958103319947,0,0,0
8GG18316,North Coast Unified,1,1,California Department of Forestry and Fire Protection,44719,9196,,4.862875163114397,,10.708176107828981,0,0,0
8GG18317,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,4608,0,,,,8.435766192720509,0,0,0
8GG18318,South Coast,1,1,California Department of Forestry and Fire Protection,32998,1047,,31.516714422158547,,10.404232536959167,0,0,1
8GG18319,North Coast Unified,1,1,California Department of Forestry and Fire Protection,7268,0,,,,8.891374009484636,0,0,0
8GG18400,South Coast,1,1,California Department of Forestry and Fire Protection,0,0,,,,0.0,0,0,1
8GG18401,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,0,0,,,,0.0,0,0,0
8GG18402,South Coast,1,1,California Department of Forestry and Fire Protection,0,0,,,,0.0,0,0,1
8GG18403,South Coast,1,1,California Department of Forestry and Fire Protection,0,0,,,,0.0,0,0,1
8GG18600,Placer,1,1,California Department of Forestry and Fire Protection,1500000,-31434,,,,14.220976332738882,0,0,0
8GG18601,El Dorado,1,1,California Department of Forestry and Fire Protection,10723552,434773,,24.664714690194653,,16.18795309526113,0,0,0
8GG18602,Northern Sierra,1,1,California Department of Forestry and Fire Protection,9002948,183436,,49.07950456835081,,16.01306274829616,0,0,0
8GG18603,Lake,1,1,California Department of Forestry and Fire Protection,469000,53869,,8.70630603872357,,13.058360179622305,0,0,0
8GG18604,South Coast,1,1,California Department of Forestry and Fire Protection,3000000,4197,,714.7962830593281,,14.914123179965662,0,0,1
8GG18605,Lassen,1,1,California Department of Forestry and Fire Protection,4760348,883779,,5.386355638683426,,15.375831542847603,0,0,0
8GG18606,North Coast Unified,1,1,California Department of Forestry and Fire Protection,1279270,-949,,,,14.061800942401272,0,0,0
8GG18607,Calaveras,1,1,California Department of Forestry and Fire Protection,2401102,3242,,740.6236890808143,,14.691438773075433,0,0,0
8GG18608,Siskiyou,1,1,California Department of Forestry and Fire Protection,5266274,26488,,198.81735125339776,,15.476833839475109,0,0,0
8GG18609,Placer,1,1,California Department of Forestry and Fire Protection,2697153,34303,,78.62732122554878,,14.807707700973713,0,0,0
8GG18610,Placer,1,1,California Department of Forestry and Fire Protection,12987710,488976,,26.561037760544483,,16.37951416064841,0,0,0
8GG18611,Placer,1,1,California Department of Forestry and Fire Protection,2335120,-13494,,,,14.663574267870997,0,0,0
8GG18612,Mendocino,1,1,California Department of Forestry and Fire Protection,1909820,106819,,17.879029011692676,,14.462520078353588,0,0,0
8GG18613,Northern Sierra,1,1,California Department of Forestry and Fire Protection,6638027,1127063,,5.8896681019605825,,15.708325489391154,0,0,0
8GG18614,Tuolumne,1,1,California Department of Forestry and Fire Protection,5000000,136990,,36.49901452660778,,15.424948670398354,0,0,0
8GG18615,Northern Sierra,1,1,California Department of Forestry and Fire Protection,3000000,75301,,39.84010836509475,,14.914123179965662,0,0,0
8GG18616,Siskiyou,1,1,California Department of Forestry and Fire Protection,5000000,115210,,43.39901050256054,,15.424948670398354,0,0,0
8GG18650,Mariposa,1,1,California Department of Forestry and Fire Protection,2068465,38963,,53.08792957421143,,14.542317827716849,0,0,0
8GG18651,North Coast Unified,1,1,California Department of Forestry and Fire Protection,7000000,84572,,82.76971101546611,,15.76142084987672,0,0,0
8GG18652,Shasta,1,1,California Department of Forestry and Fire Protection,7000000,-202649,,,,15.76142084987672,0,0,0
8GG18653,Tehama,1,1,California Department of Forestry and Fire Protection,4737658,11728,,403.9612892223738,,15.371053689814904,0,0,0
8GG18654,Modoc,1,1,California Department of Forestry and Fire Protection,5000000,58557,,85.38688798948033,,15.424948670398354,0,0,0
8GG18655,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,4150594,53397,,77.73084630222672,,15.23876225542386,0,0,0
8GG18656,North Coast Unified,1,1,California Department of Forestry and Fire Protection,4314243,60567,,71.2309178265392,,15.277432664368868,0,0,0
8GG18657,Siskiyou,1,1,California Department of Forestry and Fire Protection,3429952,282431,,12.144389249055521,,15.048057116424333,0,0,0
8GG18658,North Coast Unified,1,1,California Department of Forestry and Fire Protection,4125700,46234,,89.23519487822814,,15.232746502706794,0,0,0
8GG18659,South Coast,1,1,California Department of Forestry and Fire Protection,766500,39775,,19.270898805782526,,13.549591281924597,0,0,1
8GG18661,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,4876730,17064,,285.79055321143926,,15.39998567631227,0,0,0
8GG18662,Modoc,1,1,California Department of Forestry and Fire Protection,2916274,651577,,4.475716607553673,,14.885817674934268,0,0,0
8GG18700,Northern Sonoma,1,1,California Department of Forestry and Fire Protection,4050000,375570,,10.783608914450037,,15.214227685996272,0,0,0
8GG18702,North Coast Unified,1,1,California Department of Forestry and Fire Protection,67000,2895,,23.1433506044905,,11.112462823634855,0,0,0
8GG18704,North Coast Unified,1,1,California Department of Forestry and Fire Protection,4500000,27683,,162.5546364194632,,15.319588176962746,0,0,0
8GG18705,Siskiyou,1,1,California Department of Forestry and Fire Protection,5805798,1496017,,3.880836915623285,,15.574367803608165,0,0,0
8GG18706,Placer,1,1,California Department of Forestry and Fire Protection,1300700,26039,,49.951995084296634,,14.078413907868327,0,0,0
8GG18707,Bay Area,1,1,California Department of Forestry and Fire Protection,1500000,21118,,71.02945354673739,,14.220976332738882,0,0,0
8GG18804,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,396090,0,,,,12.889399261816903,0,0,0
8GG18805,Mendocino,1,1,California Department of Forestry and Fire Protection,353876,0,,,,12.776704674111405,0,0,0
8GG18807,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,61250,0,,,,11.022735454804309,0,0,0
8GG19101,Sacramento Metro,1,1,California Department of Forestry and Fire Protection,249967,0,,,,12.429088188651685,0,0,0
8GG19400,South Coast,1,1,California Department of Forestry and Fire Protection,0,0,,,,0.0,0,0,1
8GG19401,Monterey Bay Unified,1,1,California Department of Forestry and Fire Protection,0,0,,,,0.0,0,0,0
8GG19402,South Coast,1,1,California Department of Forestry and Fire Protection,0,0,,,,0.0,0,0,1
8GG19403,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,0,0,,,,0.0,0,0,0
8GG19404,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,0,0,,,,0.0,0,0,0
8GG19405,Bay Area,1,1,California Department of Forestry and Fire Protection,0,0,,,,0.0,0,0,0
8GG19406,South Coast,1,1,California Department of Forestry and Fire Protection,0,0,,,,0.0,0,0,1
8GG19407,South Coast,1,1,California Department of Forestry and Fire Protection,0,0,,,,0.0,0,0,1
8GG19408,South Coast,1,1,California Department of Forestry and Fire Protection,0,0,,,,0.0,0,0,1
8GG19409,San Diego,1,1,California Department of Forestry and Fire Protection,0,0,,,,0.0,0,0,1
8GG19410,Bay Area,1,1,California Department of Forestry and Fire Protection,0,0,,,,0.0,0,0,0
8GG19411,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,0,0,,,,0.0,0,0,0
8GG19412,Bay Area,1,1,California Department of Forestry and Fire Protection,0,0,,,,0.0,0,0,0
8GG19413,Sacramento Metro,1,1,California Department of Forestry and Fire Protection,0,0,,,,0.0,0,0,0
8GG19414,South Coast,1,1,California Department of Forestry and Fire Protection,0,0,,,,0.0,0,0,1
8GG19415,South Coast,1,1,California Department of Forestry and Fire Protection,0,0,,,,0.0,0,0,1
8GG19416,South Coast,1,1,California Department of Forestry and Fire Protection,0,0,,,,0.0,0,0,1
8GG19417,South Coast,1,1,California Department of Forestry and Fire Protection,0,0,,,,0.0,0,0,1
8GG19418,South Coast,1,1,California Department of Forestry and Fire Protection,0,0,,,,0.0,0,0,1
8GG19419,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,0,0,,,,0.0,0,0,0
8GG19420,Sacramento Metro,1,1,California Department of Forestry and Fire Protection,0,0,,,,0.0,0,0,0
8GG19421,Placer,1,1,California Department of Forestry and Fire Protection,0,0,,,,0.0,0,0,0
