Project ID Number,Lead_AQMD,n_aqmd_partners,n_county_partners,Agency_Name,Total_Funding,Total_GHG_Reductions,DAC_Funding,cost_per_ton,share_DAC,log_funding,cross_aqmd_collab,high_county_collab,SoCal_AQMD
00-099-03,San Diego,1,1,California State Coastal Conservancy,3192500,0,,,,14.976315180122924,0,0,1
02-070-05,Bay Area,1,1,California State Coastal Conservancy,947000,0,,,,13.761055428133867,0,0,0
02-070-06,Bay Area,1,1,California State Coastal Conservancy,396200,0,,,,12.889676937221191,0,0,0
08-036-02,Monterey Bay Unified,1,1,California State Coastal Conservancy,2000000,0,,,,14.508658238524095,0,0,0
08-057-02,Ventura,1,1,California State Coastal Conservancy,16200000,0,,,,16.600521861931007,0,0,1
1,Sacramento Metro,3,3,California Department of Food and Agriculture,3000000,0,0.0,,0.0,14.914123179965662,1,0,0
10,Shasta,2,2,California Department of Forestry and Fire Protection,859000,-853,,,,13.663525365110068,1,0,0
10123,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,152640,0,,,,11.935844038023337,0,0,0
10123-2021b,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,39089,0,,,,10.573621958787001,0,0,0
10123-2022a,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,11589,0,,,,9.357897936333798,0,0,0
1016,Monterey Bay Unified,1,1,California Department of Fish and Wildlife,1596780,3297,,484.3130118289354,,14.28350028567095,0,0,0
10178-2022a,Shasta,1,1,California Department of Forestry and Fire Protection,118852,0,,,,11.685642714371324,0,0,0
10178-2023a,Shasta,1,1,California Department of Forestry and Fire Protection,453449,0,,,,13.024640288875714,0,0,0
10260,San Diego,1,1,California Department of Forestry and Fire Protection,2901,0,,,,7.973155433444133,0,0,1
10291-2023b,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,17636,0,,,,9.777754247070364,0,0,0
10294-2023b,Butte,1,1,California Department of Forestry and Fire Protection,8794,0,,,,9.081938657171658,0,0,0
10310-2022a,Mendocino,1,1,California Department of Forestry and Fire Protection,291369,0,,,,12.582349216173663,0,0,0
10310-2022b,Mendocino,1,1,California Department of Forestry and Fire Protection,10940,0,,,,9.30027247947679,0,0,0
1034,South Coast,1,1,California Strategic Growth Council,30889626,21020,,1469.5350142721218,,17.245930989716648,0,0,1
10348,Feather River,1,1,California Department of Forestry and Fire Protection,8489,0,,,,9.046644279305394,0,0,0
10348-2021b,Feather River,1,1,California Department of Forestry and Fire Protection,175241,0,,,,12.073923154782133,0,0,0
10366-2022a,Tuolumne,1,1,California Department of Forestry and Fire Protection,96984,0,,,,11.482311606352392,0,0,0
10416,Calaveras,1,1,California Department of Forestry and Fire Protection,9027,0,,,,9.108086137937427,0,0,0
1042,Northern Sierra,1,1,California Department of Fish and Wildlife,3906128,34328,,113.78839431367979,,15.178057415987082,0,0,0
10432,Calaveras,1,1,California Department of Forestry and Fire Protection,126379,0,,,,11.747048520327446,0,0,0
10492,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,91584,0,,,,11.425022781794317,0,0,0
10492-2022a,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,34766,0,,,,10.4564239400025,0,0,0
10492-2022b,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,14599,0,,,,9.588776807696428,0,0,0
10538,Yolo-Solano,1,1,California Department of Forestry and Fire Protection,140639,0,,,,11.853958712919004,0,0,0
10540-2023b,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,63491,0,,,,11.058669192692133,0,0,0
10540-2024a,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,99758,0,,,,11.510512556245938,0,0,0
10545,Mendocino,1,1,California Department of Forestry and Fire Protection,623931,0,,,,13.343796667054454,0,0,0
10545-2021b,Mendocino,1,1,California Department of Forestry and Fire Protection,185091,0,,,,12.128608277746437,0,0,0
10545-2022a,Mendocino,1,1,California Department of Forestry and Fire Protection,17139,0,,,,9.749170192151771,0,0,0
10545-2023a,Mendocino,1,1,California Department of Forestry and Fire Protection,194063,0,,,,12.175943280548662,0,0,0
10545-2024a,Mendocino,1,1,California Department of Forestry and Fire Protection,66102,0,,,,11.098969410588996,0,0,0
10564,San Diego,1,1,California Department of Forestry and Fire Protection,2901,0,,,,7.973155433444133,0,0,1
10568-2022a,South Coast,1,1,California Department of Forestry and Fire Protection,109981,0,,,,11.608071995021026,0,0,1
10568-2024a,Mendocino,1,1,California Department of Forestry and Fire Protection,40054,0,,,,10.598008788649217,0,0,0
10577-2022a,Yolo-Solano,1,1,California Department of Forestry and Fire Protection,24176,0,,,,10.093157046992621,0,0,0
10613-2023b,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,14109,0,,,,9.55463904484686,0,0,0
10613-2024a,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,13855,0,,,,9.536473630802217,0,0,0
10615,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,143327,0,,,,11.872890989007027,0,0,0
10616-2022a,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,139063,0,,,,11.842689537801377,0,0,0
10616-2022b,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,51098,0,,,,10.841520206528687,0,0,0
10616-2023a,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,160721,0,,,,11.987431443413382,0,0,0
10616-2023b,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,225745,0,,,,12.327165752406861,0,0,0
10616-2024a,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,163492,0,,,,12.004525454947265,0,0,0
1063,Northern Sierra,1,1,California Department of Fish and Wildlife,743216,187920,,3.954959557258408,,13.518743340278286,0,0,0
10659,Mendocino,1,1,California Department of Forestry and Fire Protection,410881,0,,,,12.926061347633079,0,0,0
10659-2021b,Mendocino,1,1,California Department of Forestry and Fire Protection,185091,0,,,,12.128608277746437,0,0,0
10659-2022a,Mendocino,1,1,California Department of Forestry and Fire Protection,291369,0,,,,12.582349216173663,0,0,0
10659-2022b,Mendocino,1,1,California Department of Forestry and Fire Protection,20057,0,,,,9.906383355648154,0,0,0
10659-2023a,Mendocino,1,1,California Department of Forestry and Fire Protection,134551,0,,,,11.809706020407269,0,0,0
10885,Northern Sierra,1,1,California Department of Forestry and Fire Protection,33956,0,,,,10.43285029730053,0,0,0
10907-2022a,Mendocino,1,1,California Department of Forestry and Fire Protection,34279,0,,,,10.442317372711717,0,0,0
10941,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,34705,0,,,,10.45466786165045,0,0,0
10941-2021b,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,136532,0,,,,11.824321622630094,0,0,0
10941-2022a,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,324223,0,,,,12.689189913921293,0,0,0
10941-2022b,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,152763,0,,,,11.936649525861784,0,0,0
10941-2023b,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,78199,0,,,,11.267024926533402,0,0,0
10941-2024a,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,1846,0,,,,7.52131798019924,0,0,0
10969-2022b,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,14599,0,,,,9.588776807696428,0,0,0
10969-2023a,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,66179,0,,,,11.100133581475603,0,0,0
10969-2023b,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,67018,0,,,,11.112731440260855,0,0,0
10_2021,Bay Area,1,1,San Francisco Bay Conservation and Development Commission,182539,0,,,,12.114724606070869,0,0,0
10_2022MYDU,Bay Area,1,1,San Francisco Bay Conservation and Development Commission,202981,0,,,,12.220872584141773,0,0,0
11,San Diego,2,2,California Department of Forestry and Fire Protection,155000,-996,,,,11.951186847493476,1,0,1
11004-2023b,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,28218,0,,,,10.247750788917848,0,0,0
11137,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,91584,0,,,,11.425022781794317,0,0,0
11137-2021b,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,39089,0,,,,10.573621958787001,0,0,0
11137-2022a,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,92709,0,,,,11.437231620601029,0,0,0
11166,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,17352,0,,,,9.761520681090504,0,0,0
11168,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,8676,0,,,,9.06843112579349,0,0,0
11170,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,52057,0,,,,10.860113760599686,0,0,0
11170-2023b,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,7820,0,,,,8.964567702601611,0,0,0
11170-2024a,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,9229,0,,,,9.130214327496898,0,0,0
11286,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,274752,0,,,,12.523627791223545,0,0,0
11286-2021b,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,273624,0,,,,12.519513834825164,0,0,0
11286-2022a,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,359247,0,,,,12.791768236771983,0,0,0
11286-2022b,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,14599,0,,,,9.588776807696428,0,0,0
11367,San Diego,1,1,California Department of Forestry and Fire Protection,214237,0,,,,12.274842825556556,0,0,1
11387,Shasta,1,1,California Department of Forestry and Fire Protection,89452,0,,,,11.401468626664016,0,0,0
11388,Shasta,1,1,California Department of Forestry and Fire Protection,201266,0,,,,12.212387663762936,0,0,0
11388-2021b,Shasta,1,1,California Department of Forestry and Fire Protection,156790,0,,,,11.962668987291934,0,0,0
11389,Bay Area,1,1,California Department of Forestry and Fire Protection,407854,0,,,,12.918666998062678,0,0,0
11442,San Diego,1,1,California Department of Forestry and Fire Protection,285649,0,,,,12.562522564152609,0,0,1
11443,Butte,1,1,California Department of Forestry and Fire Protection,168572,0,,,,12.035124169376983,0,0,0
11458,Tuolumne,1,1,California Department of Forestry and Fire Protection,80548,0,,,,11.296620973878772,0,0,0
11465,Placer,1,1,California Department of Forestry and Fire Protection,67912,0,,,,11.125982753247548,0,0,0
11469,Tuolumne,1,1,California Department of Forestry and Fire Protection,63189,0,,,,11.053901339767501,0,0,0
11470,Calaveras,1,1,California Department of Forestry and Fire Protection,153460,0,,,,11.941201742066479,0,0,0
11470-2021b,Calaveras,1,1,California Department of Forestry and Fire Protection,128876,0,,,,11.76661374011252,0,0,0
11470-2023a,Calaveras,1,1,California Department of Forestry and Fire Protection,49861,0,,,,10.817014468587551,0,0,0
11470-2023b,Calaveras,1,1,California Department of Forestry and Fire Protection,48110,0,,,,10.781266120176918,0,0,0
11471-2022a,Calaveras,1,1,California Department of Forestry and Fire Protection,24246,0,,,,10.096048177372545,0,0,0
11475,Tuolumne,1,1,California Department of Forestry and Fire Protection,108325,0,,,,11.592900478044845,0,0,0
11483,Calaveras,1,1,California Department of Forestry and Fire Protection,45135,0,,,,10.717435433241777,0,0,0
11483-2022a,Calaveras,1,1,California Department of Forestry and Fire Protection,678891,0,,,,13.42821733645245,0,0,0
11483-2022b,Calaveras,1,1,California Department of Forestry and Fire Protection,37262,0,,,,10.525756156212303,0,0,0
11483-2023a,Calaveras,1,1,California Department of Forestry and Fire Protection,30866,0,,,,10.33744293104392,0,0,0
11484,Tuolumne,1,1,California Department of Forestry and Fire Protection,63189,0,,,,11.053901339767501,0,0,0
11517,Placer,1,1,California Department of Forestry and Fire Protection,186759,0,,,,12.137579649084874,0,0,0
11520,Northern Sierra,1,1,California Department of Forestry and Fire Protection,25467,0,,,,10.145178041136916,0,0,0
11524,Butte,1,1,California Department of Forestry and Fire Protection,10536,0,,,,9.262648151599528,0,0,0
11524-2021b,Butte,1,1,California Department of Forestry and Fire Protection,149953,0,,,,11.918083859379887,0,0,0
11524-2022a,Butte,1,1,California Department of Forestry and Fire Protection,38410,0,,,,10.556099155887797,0,0,0
11524-2022b,Butte,1,1,California Department of Forestry and Fire Protection,121457,0,,,,11.707323802989633,0,0,0
11524-2023a,Butte,1,1,California Department of Forestry and Fire Protection,294826,0,,,,12.594144022620398,0,0,0
11524-2023b,Butte,1,1,California Department of Forestry and Fire Protection,120191,0,,,,11.69684574312788,0,0,0
11524-2024a,Butte,1,1,California Department of Forestry and Fire Protection,258551,0,,,,12.462852113242137,0,0,0
11527,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,104115,0,,,,11.553260941159632,0,0,0
11528,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,86762,0,,,,11.370935542489612,0,0,0
11529,South Coast,1,1,California Department of Forestry and Fire Protection,28753,0,,,,10.266532166982538,0,0,1
11530,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,130144,0,,,,11.77640449247384,0,0,0
11530-2021b,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,5057,0,,,,8.52872642722991,0,0,0
11531,Calaveras,1,1,California Department of Forestry and Fire Protection,72216,0,,,,11.187430754228966,0,0,0
11531-2021b,Calaveras,1,1,California Department of Forestry and Fire Protection,48329,0,,,,10.785807764839129,0,0,0
11532,Shasta,1,1,California Department of Forestry and Fire Protection,413713,0,,,,12.932930192824458,0,0,0
11532-2021b,Shasta,1,1,California Department of Forestry and Fire Protection,47037,0,,,,10.758711064661831,0,0,0
11532-2022a,Shasta,1,1,California Department of Forestry and Fire Protection,103995,0,,,,11.552107715845384,0,0,0
11538,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,69410,0,,,,11.147800635375791,0,0,0
11538-2022a,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,54037,0,,,,10.89744278176676,0,0,0
11552-2022b,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,18249,0,,,,9.811920359010637,0,0,0
11552-2023a,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,151267,0,,,,11.926808377076629,0,0,0
11552-2023b,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,77600,0,,,,11.259335592686217,0,0,0
11559,Placer,1,1,California Department of Forestry and Fire Protection,50934,0,,,,10.838305589024166,0,0,0
11566,San Diego,1,1,California Department of Forestry and Fire Protection,159566,0,,,,11.980219175701325,0,0,1
11583,Shasta,1,1,California Department of Forestry and Fire Protection,31358,0,,,,10.353256586200818,0,0,0
11583-2022a,Shasta,1,1,California Department of Forestry and Fire Protection,29713,0,,,,10.299373594197299,0,0,0
11593,Northern Sierra,1,1,California Department of Forestry and Fire Protection,16978,0,,,,9.739732565316011,0,0,0
11594,Northern Sierra,1,1,California Department of Forestry and Fire Protection,152802,0,,,,11.936904789029676,0,0,0
11594-2021b,Northern Sierra,1,1,California Department of Forestry and Fire Protection,77885,0,,,,11.26300149812105,0,0,0
11609,Tuolumne,1,1,California Department of Forestry and Fire Protection,9027,0,,,,9.108086137937427,0,0,0
11613,Feather River,1,1,California Department of Forestry and Fire Protection,50934,0,,,,10.838305589024166,0,0,0
11618,Northern Sierra,1,1,California Department of Forestry and Fire Protection,16980,0,,,,9.739850350946302,0,0,0
11618-2021b,Northern Sierra,1,1,California Department of Forestry and Fire Protection,38942,0,,,,10.569854317561104,0,0,0
11651,Calaveras,1,1,California Department of Forestry and Fire Protection,45135,0,,,,10.717435433241777,0,0,0
11652,Calaveras,1,1,California Department of Forestry and Fire Protection,18054,0,,,,9.801177933711559,0,0,0
1173-2022a,San Diego,1,1,California Department of Forestry and Fire Protection,58930,0,,,,10.984122546973575,0,0,1
1173-2022b,San Diego,1,1,California Department of Forestry and Fire Protection,427635,0,,,,12.966027645421732,0,0,1
11747-2022a,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,104298,0,,,,11.555017053215193,0,0,0
11764,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,8676,0,,,,9.06843112579349,0,0,0
11764-2021b,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,45511,0,,,,10.725731306430482,0,0,0
11764-2022a,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,72049,0,,,,11.185115601427668,0,0,0
11765,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,52057,0,,,,10.860113760599686,0,0,0
11765-2021b,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,70794,0,,,,11.16754365571907,0,0,0
11777,Calaveras,1,1,California Department of Forestry and Fire Protection,36108,0,,,,10.494297420728252,0,0,0
11777-2021b,Calaveras,1,1,California Department of Forestry and Fire Protection,8055,0,,,,8.994172434398399,0,0,0
11777-2022b,Calaveras,1,1,California Department of Forestry and Fire Protection,49682,0,,,,10.8134181012576,0,0,0
11780,Butte,1,1,California Department of Forestry and Fire Protection,347680,0,,,,12.759040671694128,0,0,0
11780-2021b,Butte,1,1,California Department of Forestry and Fire Protection,481991,0,,,,13.085682795384624,0,0,0
11780-2022a,Butte,1,1,California Department of Forestry and Fire Protection,614561,0,,,,13.32866509793528,0,0,0
11780-2022b,Butte,1,1,California Department of Forestry and Fire Protection,121457,0,,,,11.707323802989633,0,0,0
11780-2023a,Butte,1,1,California Department of Forestry and Fire Protection,256161,0,,,,12.453565335820299,0,0,0
11780-2023b,Butte,1,1,California Department of Forestry and Fire Protection,293148,0,,,,12.58843629116362,0,0,0
11782,Tuolumne,1,1,California Department of Forestry and Fire Protection,27081,0,,,,10.206624579542769,0,0,0
1180-2022a,San Diego,1,1,California Department of Forestry and Fire Protection,11786,0,,,,9.37475250822657,0,0,1
11801-2022a,Calaveras,1,1,California Department of Forestry and Fire Protection,24246,0,,,,10.096048177372545,0,0,0
11804,Placer,1,1,California Department of Forestry and Fire Protection,33956,0,,,,10.43285029730053,0,0,0
11804-2021b,Placer,1,1,California Department of Forestry and Fire Protection,77885,0,,,,11.26300149812105,0,0,0
11805-2022a,San Diego,1,1,California Department of Forestry and Fire Protection,11786,0,,,,9.37475250822657,0,0,1
11809,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,34705,0,,,,10.45466786165045,0,0,0
11819-2023a,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,66179,0,,,,11.100133581475603,0,0,0
11819-2023b,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,10582,0,,,,9.267004219093725,0,0,0
11822,South Coast,1,1,California Department of Forestry and Fire Protection,115012,0,,,,11.652800444434716,0,0,1
11890,Calaveras,1,1,California Department of Forestry and Fire Protection,8055,0,,,,8.994172434398399,0,0,0
11896,Northern Sierra,1,1,California Department of Forestry and Fire Protection,19471,0,,,,9.876732815227308,0,0,0
11911,Butte,1,1,California Department of Forestry and Fire Protection,10711,0,,,,9.279119887371008,0,0,0
11911-2022b,Butte,1,1,California Department of Forestry and Fire Protection,30364,0,,,,10.321045908331676,0,0,0
11914,Shasta,1,1,California Department of Forestry and Fire Protection,109753,0,,,,11.60599677674251,0,0,0
11917,Calaveras,1,1,California Department of Forestry and Fire Protection,16110,0,,,,9.687257547490987,0,0,0
11954,Butte,1,1,California Department of Forestry and Fire Protection,10711,0,,,,9.279119887371008,0,0,0
11988,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,39089,0,,,,10.573621958787001,0,0,0
11_2021,Bay Area,1,1,San Francisco Bay Conservation and Development Commission,162830,0,,,,12.000468132113847,0,0,0
11_2022MYDU,Bay Area,1,1,San Francisco Bay Conservation and Development Commission,101490,0,,,,11.527725403581828,0,0,0
12,Shasta,2,2,California Department of Forestry and Fire Protection,1782000,-12511,,,,14.393247448179961,1,0,0
12-025-02,North Coast Unified,1,1,California State Coastal Conservancy,426017,0,,,,12.96223687787998,0,0,0
12319-2022a,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,11589,0,,,,9.357897936333798,0,0,0
12355-2022b,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,4928,0,,,,8.502891406705377,0,0,0
12355-2023b,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,23460,0,,,,10.063094747044966,0,0,0
12359-2022a,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,126087,0,,,,11.744735354855377,0,0,0
12359-2023a,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,35400,0,,,,10.474495347310453,0,0,0
12410-2023b,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,48483,0,,,,10.788989125590403,0,0,0
12506,San Diego,1,1,California Department of Forestry and Fire Protection,66728,0,,,,11.10839492002184,0,0,1
12562-2022a,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,36025,0,,,,10.491996178983504,0,0,0
12564-2022b,Placer,1,1,California Department of Forestry and Fire Protection,215029,0,,,,12.278532832259435,0,0,0
12565-2022a,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,54037,0,,,,10.89744278176676,0,0,0
12601,Calaveras,1,1,California Department of Forestry and Fire Protection,8055,0,,,,8.994172434398399,0,0,0
12603-2022a,San Diego,1,1,California Department of Forestry and Fire Protection,353581,0,,,,12.775870703472547,0,0,1
12603-2022b,San Diego,1,1,California Department of Forestry and Fire Protection,90028,0,,,,11.407887119632193,0,0,1
12605-2023b,Butte,1,1,California Department of Forestry and Fire Protection,114328,0,,,,11.646835535887075,0,0,0
12608-2023a,San Diego,1,1,California Department of Forestry and Fire Protection,78151,0,,,,11.266410927332778,0,0,1
12610-2022b,South Coast,1,1,California Department of Forestry and Fire Protection,338328,0,,,,12.73177407382612,0,0,1
12675-2022a,Tuolumne,1,1,California Department of Forestry and Fire Protection,24246,0,,,,10.096048177372545,0,0,0
12679-2022a,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,69532,0,,,,11.149556739005355,0,0,0
12679-2022b,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,51098,0,,,,10.841520206528687,0,0,0
12679-2023a,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,349805,0,,,,12.765133994078196,0,0,0
12679-2023b,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,148145,0,,,,11.90595355297471,0,0,0
12679-2024a,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,229998,0,,,,12.345830240069793,0,0,0
12744-2022a,San Diego,1,1,California Department of Forestry and Fire Protection,47144,0,,,,10.760983237899778,0,0,1
12748-2022a,Shasta,1,1,California Department of Forestry and Fire Protection,14856,0,,,,9.606226413637353,0,0,0
12751-2022a,Shasta,1,1,California Department of Forestry and Fire Protection,14856,0,,,,9.606226413637353,0,0,0
12751-2022b,Shasta,1,1,California Department of Forestry and Fire Protection,27982,0,,,,10.239352461914338,0,0,0
12760-2022a,Shasta,1,1,California Department of Forestry and Fire Protection,74282,0,,,,11.215637402373213,0,0,0
12769-2022a,Shasta,1,1,California Department of Forestry and Fire Protection,74282,0,,,,11.215637402373213,0,0,0
12795-2022a,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,180124,0,,,,12.101406333301822,0,0,0
12795-2022b,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,14784,0,,,,9.601368432286577,0,0,0
12795-2024a,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,503898,0,,,,13.130131130145982,0,0,0
12802-2022a,Butte,1,1,California Department of Forestry and Fire Protection,64017,0,,,,11.066919572798442,0,0,0
12814-2022a,Northern Sierra,1,1,California Department of Forestry and Fire Protection,128056,0,,,,11.760230756279569,0,0,0
12829-2022a,San Diego,1,1,California Department of Forestry and Fire Protection,35358,0,,,,10.473308235808691,0,0,1
12829-2022b,San Diego,1,1,California Department of Forestry and Fire Protection,67521,0,,,,11.120208749684231,0,0,1
12829-2023a,San Diego,1,1,California Department of Forestry and Fire Protection,14653,0,,,,9.592468614719909,0,0,1
12833-2022a,Placer,1,1,California Department of Forestry and Fire Protection,128056,0,,,,11.760230756279569,0,0,0
12834-2022a,San Diego,1,1,California Department of Forestry and Fire Protection,82502,0,,,,11.320589935297996,0,0,1
12864-2022a,Calaveras,1,1,California Department of Forestry and Fire Protection,24246,0,,,,10.096048177372545,0,0,0
12869-2022a,Shasta,1,1,California Department of Forestry and Fire Protection,415981,0,,,,12.938397269076491,0,0,0
12893-2022a,Calaveras,1,1,California Department of Forestry and Fire Protection,96984,0,,,,11.482311606352392,0,0,0
12949-2022a,Northern Sierra,1,1,California Department of Forestry and Fire Protection,21343,0,,,,9.96852594871535,0,0,0
12960-2022a,Butte,1,1,California Department of Forestry and Fire Protection,128033,0,,,,11.76005113262968,0,0,0
12960-2022b,Butte,1,1,California Department of Forestry and Fire Protection,242914,0,,,,12.400466866891728,0,0,0
12960-2023a,Butte,1,1,California Department of Forestry and Fire Protection,304493,0,,,,12.626406661504456,0,0,0
12960-2024a,Butte,1,1,California Department of Forestry and Fire Protection,389900,0,,,,12.873648139727594,0,0,0
12_2021,Bay Area,1,1,San Francisco Bay Conservation and Development Commission,181669,0,,,,12.10994713343279,0,0,0
12_2022MYDU,Bay Area,1,1,San Francisco Bay Conservation and Development Commission,77037,0,,,,11.252054085595047,0,0,0
13,Butte,2,2,California Department of Forestry and Fire Protection,200000,-8044,,,,12.206077645517674,1,0,0
13047-2022a,San Diego,1,1,California Department of Forestry and Fire Protection,153219,0,,,,11.939630076070811,0,0,1
13149-2022a,South Coast,1,1,California Department of Forestry and Fire Protection,235673,0,,,,12.370204773123918,0,0,1
13194-2022b,San Diego,1,1,California Department of Forestry and Fire Protection,22507,0,,,,10.021626080553169,0,0,1
13270-2022a,San Diego,1,1,California Department of Forestry and Fire Protection,23572,0,,,,10.067857268271947,0,0,1
13522-2022a,Tuolumne,1,1,California Department of Forestry and Fire Protection,48492,0,,,,10.789174736612106,0,0,0
13522-2022b,Tuolumne,1,1,California Department of Forestry and Fire Protection,24841,0,,,,10.12029104810414,0,0,0
13563-2022a,Calaveras,1,1,California Department of Forestry and Fire Protection,24246,0,,,,10.096048177372545,0,0,0
13563-2022b,Calaveras,1,1,California Department of Forestry and Fire Protection,12421,0,,,,9.427224373119248,0,0,0
13564-2022a,San Diego,1,1,California Department of Forestry and Fire Protection,11786,0,,,,9.37475250822657,0,0,1
13579-2022a,Calaveras,1,1,California Department of Forestry and Fire Protection,24246,0,,,,10.096048177372545,0,0,0
13736-2022a,Bay Area,1,1,California Department of Forestry and Fire Protection,145056,0,,,,11.88488204760607,0,0,0
13746-2022a,San Diego,1,1,California Department of Forestry and Fire Protection,11786,0,,,,9.37475250822657,0,0,1
13753-2022a,Tuolumne,1,1,California Department of Forestry and Fire Protection,24246,0,,,,10.096048177372545,0,0,0
13753-2022b,Tuolumne,1,1,California Department of Forestry and Fire Protection,12421,0,,,,9.427224373119248,0,0,0
13798-2022b,Butte,1,1,California Department of Forestry and Fire Protection,30364,0,,,,10.321045908331676,0,0,0
13800-2022b,Butte,1,1,California Department of Forestry and Fire Protection,364371,0,,,,12.805930602776842,0,0,0
13800-2023b,Butte,1,1,California Department of Forestry and Fire Protection,17589,0,,,,9.775085837731604,0,0,0
13875-2022b,Shasta,1,1,California Department of Forestry and Fire Protection,1999,0,,,,7.600902459542082,0,0,0
13877-2022b,Shasta,1,1,California Department of Forestry and Fire Protection,1999,0,,,,7.600902459542082,0,0,0
13913-2022b,San Diego,1,1,California Department of Forestry and Fire Protection,22507,0,,,,10.021626080553169,0,0,1
13927-2022b,Calaveras,1,1,California Department of Forestry and Fire Protection,24841,0,,,,10.12029104810414,0,0,0
13928-2022b,Calaveras,1,1,California Department of Forestry and Fire Protection,24841,0,,,,10.12029104810414,0,0,0
13929-2022b,Calaveras,1,1,California Department of Forestry and Fire Protection,12421,0,,,,9.427224373119248,0,0,0
13962-2022b,Shasta,1,1,California Department of Forestry and Fire Protection,41973,0,,,,10.644805657957367,0,0,0
13962-2023a,Shasta,1,1,California Department of Forestry and Fire Protection,136890,0,,,,11.826940267698387,0,0,0
